starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	1	6	7	4
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	1	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	1	6	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	1	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	1	7	7	6
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	7	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	1	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	7	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	1	8	8	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	1	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	6
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	8	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	7
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	1	8	9	8
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
Thu Nov 30 15:26:51 2023	1701347211	0	9	9	9
